Date,Average Value
1/31/2000,98105.22825
2/29/2000,98075.27461
3/31/2000,97934.33243
4/30/2000,97888.17679
5/31/2000,97869.28639
6/30/2000,98038.62055
7/31/2000,98238.40991
8/31/2000,98544.74867
9/30/2000,98937.40817
10/31/2000,99255.62871
11/30/2000,99756.79379
12/31/2000,100292.4684
1/31/2001,100578.6812
2/28/2001,100579.0562
3/31/2001,100219.8144
4/30/2001,100027.3258
5/31/2001,99995.95176
6/30/2001,100128.7344
7/31/2001,100297.1905
8/31/2001,100306.4007
9/30/2001,100439.2417
10/31/2001,100659.832
11/30/2001,100949.1753
12/31/2001,101180.038
1/31/2002,101318.3905
2/28/2002,101449.5493
3/31/2002,101779.4004
4/30/2002,102290.5092
5/31/2002,102844.2506
6/30/2002,103309.038
7/31/2002,103761.4769
8/31/2002,104278.8439
9/30/2002,104776.6736
10/31/2002,105149.1881
11/30/2002,105444.3556
12/31/2002,105650.7882
1/31/2003,105877.9057
2/28/2003,106026.6357
3/31/2003,106257.5578
4/30/2003,106474.5515
5/31/2003,106711.5145
6/30/2003,106892.2935
7/31/2003,107078.1972
8/31/2003,107293.4495
9/30/2003,107447.3443
10/31/2003,107620.1696
11/30/2003,107778.2914
12/31/2003,108007.9341
1/31/2004,108309.5653
2/29/2004,109013.471
3/31/2004,110314.6835
4/30/2004,111530.4304
5/31/2004,112719.8446
6/30/2004,113194.7589
7/31/2004,113924.772
8/31/2004,114423.8259
9/30/2004,115120.8448
10/31/2004,115710.074
11/30/2004,116310.6089
12/31/2004,117000.0086
1/31/2005,117626.2378
2/28/2005,118202.5535
3/31/2005,118598.0869
4/30/2005,118938.4575
5/31/2005,119072.4781
6/30/2005,119208.8735
7/31/2005,119240.5762
8/31/2005,119205.8063
9/30/2005,119096.2622
10/31/2005,118941.3102
11/30/2005,119023.5335
12/31/2005,119067.9194
1/31/2006,119131.2822
2/28/2006,118976.6406
3/31/2006,118949.0949
4/30/2006,119038.0066
5/31/2006,119466.509
6/30/2006,119897.8608
7/31/2006,120371.8716
8/31/2006,120772.9787
9/30/2006,121261.7661
10/31/2006,121848.9208
11/30/2006,122349.9774
12/31/2006,122857.9168
1/31/2007,123105.5826
2/28/2007,123050.1563
3/31/2007,122749.7128
4/30/2007,122702.4452
5/31/2007,122942.3074
6/30/2007,123425.5329
7/31/2007,123741.6056
8/31/2007,124094.6411
9/30/2007,124357.9633
10/31/2007,124628.2797
11/30/2007,124833.8805
12/31/2007,125038.2706
1/31/2008,124759.9918
2/29/2008,124252.4943
3/31/2008,123645.8908
4/30/2008,123340.9174
5/31/2008,122978.0956
6/30/2008,122559.8359
7/31/2008,122179.9968
8/31/2008,121688.1753
9/30/2008,121027.5745
